side,match_rule,ciaa_serial,ciaa_decision_date_bs,ciaa_filing_date_bs,ngm_case_number,ngm_reg_date_bs,ngm_case_type
MATCH,exact,1,२०६९।३।३१,२०६९।४।२९,069-CR-0004,2069-04-29,नक्कली प्रमाण पत्र
MATCH,exact,2,२०६९।३।२४,२०६९।४।३०,069-CR-0006,2069-04-30,नक्कली प्रमाण पत्र
MATCH,exact,3,२०६९।३।२९,२०६९।४।३०,069-CR-0005,2069-04-30,नक्कली प्रमाण पत्र
MATCH,exact,4,२०६९।४।२२,२०६९।४।३२,069-CR-0007,2069-04-32,नक्कली प्रमाण पत्र
MATCH,exact,5,२०६९।३।३१,२०६९।५।११,069-CR-0010,2069-05-11,नक्कली प्रमाण पत्र
MATCH,exact,6,२०६९।३।३१,२०६९।५।१४,069-CR-0011,2069-05-14,नक्कली प्रमाण पत्र
MATCH,exact,7,२०६९।३।२७,२०६९।५।१४,069-CR-0012,2069-05-14,नक्कली प्रमाण पत्र
MATCH,exact,8,२०६९।३।३१,२०६९।५।१४,069-CR-0013,2069-05-14,नक्कली प्रमाण पत्र
MATCH,subset,9,२०६९।३।२९,२०६९।५।२०,069-CR-0018,2069-05-20,नक्कली प्रमाण पत्र
MATCH,exact,10,२०६९।३।२४,२०६९।५।१८,069-CR-0015,2069-05-18,नक्कली प्रमाण पत्र
MATCH,exact,11,२०६९।३।३१,२०६९।५।१९,069-CR-0016,2069-05-19,नक्कली प्रमाण पत्र
MATCH,exact,12,२०६९।१।२१,२०६९।५।२०,069-CR-0017,2069-05-20,नक्कली प्रमाण पत्र
MATCH,exact,13,२०६९।४।२२,२०६९।५।२७,069-CR-0021,2069-05-27,नक्कली प्रमाण पत्र
MATCH,exact,14,२०६९।५।७,२०६९।५।२८,069-CR-0023,2069-05-28,नक्कली प्रमाण पत्र
MATCH,exact,15,२०६९।३।२८,२०६९।५।२८,069-CR-0022,2069-05-28,नक्कली प्रमाण पत्र
MATCH,exact,16,२०६९।३।३१,२०६९।५।३१,069-CR-0024,2069-05-31,नक्कली प्रमाण पत्र
MATCH,exact,17,२०६९।५।१७,२०६९।६।५,069-CR-0029,2069-06-05,नक्कली प्रमाण पत्र
MATCH,exact,18,२०६९।३।२९,२०६९।६।७,069-CR-0030,2069-06-07,नक्कली प्रमाण पत्र
MATCH,exact,19,२०६९।६।१४,२०६९।६।२१,069-CR-0038,2069-06-21,नक्कली प्रमाण पत्र
MATCH,exact,20,२०६९।४।२२,२०६९।६।१४,069-CR-0031,2069-06-14,नक्कली प्रमाण पत्र
MATCH,exact,21,२०६९।५।१७,२०६९।६।१५,069-CR-0033,2069-06-15,नक्कली प्रमाण पत्र
MATCH,exact,22,२०६९।४।२२,२०६९।६।१६,069-CR-0035,2069-06-16,नक्कली प्रमाण पत्र
MATCH,exact,23,२०६९।५।१७,२०६९।६।१६,069-CR-0036,2069-06-17,नक्कली प्रमाण पत्र
MATCH,exact,24,२०६९।६।४,२०६९।६।२१,069-CR-0037,2069-06-21,नक्कली प्रमाण पत्र
MATCH,subset,25,२०६९।५।२४,२०६९।६।२२,069-CR-0039,2069-06-21,नक्कली प्रमाण पत्र
MATCH,exact,26,२०६९।६।४,२०६९।६।२३,069-CR-0041,2069-06-24,नक्कली प्रमाण पत्र
MATCH,exact,27,२०६९।६।३,२०६९।८।३,069-CR-0050,2069-08-03,नक्कली प्रमाण पत्र
MATCH,exact,28,२०६९।८।१९,२०६९।९।३,069-CR-0052,2069-09-03,नक्कली प्रमाण पत्र
MATCH,exact,29,२०६९।८।२९,२०६९।९।१९,069-CR-0054,2069-09-19,नक्कली प्रमाण पत्र
MATCH,exact,30,२०६९।९।१८,२०६९।९।२६,069-CR-0057,2069-09-26,नक्कली प्रमाण पत्र
MATCH,subset,31,२०६९।८।१९,२०६९।१०।१८,069-CR-0061,2069-10-18,नक्कली प्रमाण पत्र
MATCH,exact,32,२०६९।८।१९,२०६९।१०।१८,069-CR-0062,2069-10-18,नक्कली प्रमाण पत्र
MATCH,exact,33,२०६९।९।१८,२०६९।१०।१४,069-CR-0059,2069-10-14,नक्कली प्रमाण पत्र
MATCH,exact,34,२०६९।९।२७,२०६९।१०।२१,069-CR-0064,2069-10-22,नक्कली प्रमाण पत्र
MATCH,exact,35,२०६९।९।२७,२०६९।१०।२२,069-CR-0063,2069-10-22,नक्कली प्रमाण पत्र
MATCH,exact,36,२०६९।८।२१,२०६९।१०।१४,069-CR-0060,2069-10-14,नक्कली प्रमाण पत्र
MATCH,exact,37,२०६९।३।१३,२०६९।११।६,069-CR-0068,2069-11-06,नक्कली प्रमाण पत्र
MATCH,exact,38,२०६९।८।१९,२०६९।११।१०,069-CR-0069,2069-11-10,नक्कली प्रमाण पत्र
MATCH,exact,39,२०६९।८।२१,२०६९।११।१५,069-CR-0075,2069-11-15,नक्कली प्रमाण पत्र
MATCH,exact,40,२०६९।१०।२३,२०६९।११।१५,069-CR-0074,2069-11-15,नक्कली प्रमाण पत्र
MATCH,exact,41,२०६९।१०।२३,२०६९।११।५,069-CR-0073,2069-11-15,नक्कली प्रमाण पत्र
MATCH,exact,42,२०६९।११।२,२०६९।११।२१,069-CR-0076,2069-11-21,नक्कली प्रमाण पत्र
MATCH,fuzzy,43,२०६९।९।२७,२०६९।१२।६,069-CR-0077,2069-12-06,नक्कली प्रमाण पत्र
MATCH,exact,44,२०६९।११।१६,२०६९।१२।२,069-CR-0078,2069-12-12,नक्कली प्रमाण पत्र
MATCH,exact,45,२०६९।१०।२३,२०६९।१२।४,069-CR-0080,2069-12-14,नक्कली प्रमाण पत्र
MATCH,fuzzy,46,२०६९।६।१६,२०६९।१२।४,069-CR-0081,2069-12-14,नक्कली प्रमाण पत्र
MATCH,exact,47,२०६९।११।१०,२०६९।१२।४,069-CR-0079,2069-12-14,नक्कली प्रमाण पत्र
MATCH,exact,48,२०६९।११।१०,२०६९।१२।४,069-CR-0082,2069-12-14,नक्कली प्रमाण पत्र
MATCH,exact,49,२०६९।१२।४,२०७०।१।४,069-CR-0091,2070-01-04,नक्कली प्रमाण पत्र
MATCH,subset,50,२०६९।६।४,२०७०।१।४,069-CR-0092,2070-01-04,नक्कली प्रमाण पत्र
MATCH,exact,51,२०७०।१।१६,२०७०।१।२९,069-CR-0097,2070-01-29,नक्कली प्रमाण पत्र
MATCH,exact,52,२०६९।१२।४,२०७०।२।४,069-CR-0105,2070-02-14,नक्कली प्रमाण पत्र
MATCH,exact,53,२०७०।२।८,२०७०।२।१६,069-CR-0107,2070-02-16,नक्कली प्रमाण पत्र
MATCH,exact,54,२०७०।१।१३,२०७०।२।१९,069-CR-0108,2070-02-19,नक्कली प्रमाण पत्र
MATCH,exact,55,२०७०।२।७,२०७०।२।२६,069-CR-0106,2070-02-16,नक्कली प्रमाण पत्र
MATCH,exact,56,२०६९।६।१६,२०७०।२।२१,069-CR-0109,2070-02-21,नक्कली प्रमाण पत्र
MATCH,surname_given,57,२०७०।२।१४,२०७०।२।२२,069-CR-0110,2070-02-22,नक्कली प्रमाण पत्र
MATCH,exact,58,२०७०।१।१६,२०७०।२।२७,069-CR-0111,2070-02-27,नक्कली प्रमाण पत्र
MATCH,exact,59,२०७०।२।१४,२०७०।३।२,069-CR-0113,2070-03-02,नक्कली प्रमाण पत्र
MATCH,exact,60,२०७०।२।१४,२०७०।३।६,069-CR-0114,2070-03-06,नक्कली प्रमाण पत्र
MATCH,exact,61,२०७०।२।२७,२०७०।३।१०,069-CR-0115,2070-03-10,नक्कली प्रमाण पत्र
MATCH,exact,62,२०७०।२।२७,२०७०।३।१२,069-CR-0117,2070-03-12,नक्कली प्रमाण पत्र
MATCH,exact,63,२०७०।३।६,२०७०।३।१६,069-CR-0119,2070-03-16,नक्कली प्रमाण पत्र
MATCH,fuzzy,64,२०७०।२।२७,२०७०।३।२३,069-CR-0122,2070-03-23,नक्कली प्रमाण पत्र
MATCH,exact,65,२०७०।२।२७,२०७०।३।२३,069-CR-0121,2070-03-23,नक्कली प्रमाण पत्र
MATCH,exact,66,२०७०।३।१९,२०७०।३।२७,069-CR-0123,2070-03-27,नक्कली प्रमाण पत्र
MATCH,exact,67,२०७०।३।१९,२०७०।३।२७,069-CR-0124,2070-03-27,नक्कली प्रमाण पत्र
MATCH,exact,68,२०७०।३।१९,२०७०।३।३०,069-CR-0125,2070-03-30,नक्कली प्रमाण पत्र
MATCH,exact,69,२०७०।३।१९,२०७०।३।३०,069-CR-0126,2070-03-30,नक्कली प्रमाण पत्र
MATCH,manual_verified_other_casetype,0,२०६९।४।१४,२०६९।४।२५,069-CR-0019,,गैरकानुनी लाभ
NGM_ONLY,,,,,069-CR-0096,2070-01-19,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,069-CR-0049,2069-07-17,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,069-CR-0048,2069-07-17,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,069-CR-0044,2069-06-28,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,069-CR-0065,2069-10-28,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,069-CR-0066,2069-10-28,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,069-CR-0067,2069-10-28,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,069-CR-0095,2070-01-19,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,069-CR-0008,2069-05-03,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,069-CR-0043,2069-06-28,नक्कली प्रमाण पत्र
