fy,ciaa_listed,ngm_narrow,published_delta,ciaa_cases_absent_from_register,register_surplus,surplus_prior_year_report,surplus_named_in_later_report,surplus_reclassified_same_report,surplus_unexplained,ciaa_case_under_other_ngm_casetype
2069/70,70,79,9,0,10,0,4,0,6,1
2071/72,96,99,3,0,3,0,0,1,2,0
2075/76,88,93,5,0,6,5,0,0,1,1
TOTAL,254,271,17,0,19,5,4,1,9,2
