side,match_rule,ciaa_serial,ciaa_decision_date_bs,ciaa_filing_date_bs,ngm_case_number,ngm_reg_date_bs,ngm_case_type
MATCH,exact,61,२०७५।१२।१२,२०७५।१२।१४,075-CR-0224,2075-12-14,नक्कली प्रमाण पत्र
MATCH,exact,62,२०७५।१२।१२,२०७५।१२।१५,075-CR-0226,2075-12-15,नक्कली प्रमाण पत्र
MATCH,surname_given,63,२०७५।१२।१२,२०७५।१२।१४,075-CR-0225,2075-12-14,नक्कली प्रमाण पत्र
MATCH,exact,64,२०७५।१२।१८,२०७६।१।६,075-CR-0245,2076-01-06,नक्कली प्रमाण पत्र
MATCH,exact,65,२०७५।१२।२५,२०७५।१२।२८,075-CR-0238,2075-12-28,नक्कली प्रमाण पत्र
MATCH,exact,66,२०७५।१२।२५,२०७६।१।२,075-CR-0242,2076-01-02,नक्कली प्रमाण पत्र
MATCH,exact,67,२०७५।१२।२५,२०७५।१२।२७,075-CR-0236,2075-12-27,नक्कली प्रमाण पत्र
MATCH,exact,68,२०७६।१।४,२०७६।१।५,075-CR-0243,2076-01-05,नक्कली प्रमाण पत्र
MATCH,exact,69,२०७६।१।४,२०७६।१।९,075-CR-0248,2076-01-09,नक्कली प्रमाण पत्र
MATCH,exact,70,२०७६।१।४,२०७६।१।८,075-CR-0246,2076-01-08,नक्कली प्रमाण पत्र
MATCH,exact,71,२०७६।१।९,२०७६।१।१३,075-CR-0257,2076-01-15,नक्कली प्रमाण पत्र
MATCH,exact,72,२०७६।१।१९,२०७६।१।२३,075-CR-0264,2076-01-23,नक्कली प्रमाण पत्र
MATCH,exact,73,२०७६।१।१९,२०७६।१।२७,075-CR-0268,2076-01-27,नक्कली प्रमाण पत्र
MATCH,exact,74,२०७६।१।१९,२०७६।१।२२,075-CR-0260,2076-01-22,नक्कली प्रमाण पत्र
MATCH,exact,75,२०७६।१।१९,२०७६।१।२४,075-CR-0265,2076-01-24,नक्कली प्रमाण पत्र
MATCH,exact,76,२०७६।१।२६,२०७६।१।२९,075-CR-0269,2076-01-29,नक्कली प्रमाण पत्र
MATCH,exact,77,२०७६।२।२,२०७६।२।२,075-CR-0276,2076-02-02,नक्कली प्रमाण पत्र
MATCH,exact,78,२०७६।२।२,२०७६।२।३,075-CR-0279,2076-02-03,नक्कली प्रमाण पत्र
MATCH,exact,79,२०७६।२।२,२०७६।२।५,075-CR-0282,2076-02-05,नक्कली प्रमाण पत्र
MATCH,surname_given,80,२०७६।२।२,२०७६।२।५,075-CR-0284,2076-02-05,नक्कली प्रमाण पत्र
MATCH,exact,81,२०७६।२।२,२०७६।२।३,075-CR-0281,2076-02-03,नक्कली प्रमाण पत्र
MATCH,surname_given,82,२०७६।२।२,२०७६।२।१४,075-CR-0295,2076-02-14,नक्कली प्रमाण पत्र
MATCH,exact,83,२०७६।२।१३,२०७६।२।१४,075-CR-0296,2076-02-14,नक्कली प्रमाण पत्र
MATCH,exact,84,२०७६।२।१३,२०७६।२।१४,075-CR-0298,2076-02-14,नक्कली प्रमाण पत्र
MATCH,manual_verified,85,२०७६।२।१३,२०७६।२।१९,075-CR-0305,2076-02-19,नक्कली प्रमाण पत्र
MATCH,exact,86,२०७६।२।१३,२०७६।२।१९,075-CR-0306,2076-02-19,नक्कली प्रमाण पत्र
MATCH,exact,87,२०७६।२।२९,२०७६।३।१,075-CR-0322,2076-03-01,नक्कली प्रमाण पत्र
MATCH,exact,88,२०७६।३।१२,२०७६।३।१५,075-CR-0343,2076-03-15,नक्कली प्रमाण पत्र
MATCH,manual_verified_other_casetype,47,२०७५।११।९,२०७५।११।१२,075-CR-0184,,झुठ्ठा विवरण पेश गरेको
NGM_ONLY,,,,,075-CR-0005,2075-04-06,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,075-CR-0007,2075-04-08,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,075-CR-0008,2075-04-09,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,075-CR-0009,2075-04-11,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,075-CR-0022,2075-04-22,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,075-CR-0307,2076-02-19,नक्कली प्रमाण पत्र
