side,match_rule,ciaa_serial,ciaa_decision_date_bs,ciaa_filing_date_bs,ngm_case_number,ngm_reg_date_bs,ngm_case_type
MATCH,exact,1,२०७५।४।१०,२०७५।४।११,075-CR-0010,2075-04-11,नक्कली प्रमाण पत्र
MATCH,exact,2,२०७५।४।१०,२०७५।४।१६,075-CR-0016,2075-04-16,नक्कली प्रमाण पत्र
MATCH,exact,3,२०७५।४।१०,२०७५।४।१३,075-CR-0012,2075-04-13,नक्कली प्रमाण पत्र
MATCH,exact,4,२०७५।४।१७,२०७५।४।२४,075-CR-0028,2075-04-24,नक्कली प्रमाण पत्र
MATCH,exact,5,२०७५।४।१७,२०७५।४।२४,075-CR-0027,2075-04-24,नक्कली प्रमाण पत्र
MATCH,exact,6,२०७५।४।१७,२०७५।४।२४,075-CR-0026,2075-04-24,नक्कली प्रमाण पत्र
MATCH,exact,7,२०७५।४।२८,२०७५।५।२५,075-CR-0051,2075-05-25,नक्कली प्रमाण पत्र
MATCH,exact,8,२०७५।४।२८,२०७५।५।४,075-CR-0034,2075-05-04,नक्कली प्रमाण पत्र
MATCH,exact,9,२०७५।५।७,२०७५।५।१३,075-CR-0042,2075-05-13,नक्कली प्रमाण पत्र
MATCH,subset,10,२०७५।५।७,२०७५।५।१७,075-CR-0045,2075-05-17,नक्कली प्रमाण पत्र
MATCH,exact,11,२०७५।५।७,२०७५।५।१३,075-CR-0043,2075-05-13,नक्कली प्रमाण पत्र
MATCH,exact,12,२०७५।५।७,२०७५।५।१७,075-CR-0044,2075-05-17,नक्कली प्रमाण पत्र
MATCH,exact,13,२०७५।५।१८,२०७५।५।१९,075-CR-0047,2075-05-19,नक्कली प्रमाण पत्र
MATCH,exact,14,२०७५।५।१८,२०७५।५।२६,075-CR-0052,2075-05-26,नक्कली प्रमाण पत्र
MATCH,exact,15,२०७५।५।१८,२०७५।५।२७,075-CR-0053,2075-05-27,नक्कली प्रमाण पत्र
MATCH,exact,16,२०७५।५।२५,२०७५।५।२७,075-CR-0054,2075-05-27,नक्कली प्रमाण पत्र
MATCH,exact,17,२०७५।५।२५,२०७५।५।३१,075-CR-0056,2075-05-31,नक्कली प्रमाण पत्र
MATCH,exact,18,२०७५।५।२५,२०७५।६।१०,075-CR-0062,2075-06-10,नक्कली प्रमाण पत्र
MATCH,exact,19,२०७५।६।१,२०७५।६।७,075-CR-0059,2075-06-07,नक्कली प्रमाण पत्र
MATCH,exact,20,२०७५।६।११,२०७५।६।१२,075-CR-0064,2075-06-12,नक्कली प्रमाण पत्र
MATCH,exact,21,२०७५।६।११,२०७५।६।१२,075-CR-0063,2075-06-12,नक्कली प्रमाण पत्र
MATCH,exact,22,२०७५।६।११,२०७५।६।१६,075-CR-0068,2075-06-16,नक्कली प्रमाण पत्र
MATCH,exact,23,२०७५।६।११,२०७५।६।१५,075-CR-0066,2075-06-15,नक्कली प्रमाण पत्र
MATCH,exact,24,२०७५।६।१८,२०७५।६।२१,075-CR-0077,2075-06-21,नक्कली प्रमाण पत्र
MATCH,exact,25,२०७५।६।१८,२०७५।६।२१,075-CR-0076,2075-06-21,नक्कली प्रमाण पत्र
MATCH,fuzzy,26,२०७५।६।१८,२०७५।७।९,075-CR-0090,2075-07-09,नक्कली प्रमाण पत्र
MATCH,exact,27,२०७५।६।१८,२०७५।७।८,075-CR-0086,2075-07-08,नक्कली प्रमाण पत्र
MATCH,exact,28,२०७५।७।१२,२०७५।७।१४,075-CR-0095,2075-07-14,नक्कली प्रमाण पत्र
MATCH,subset,29,२०७५।७।१२,२०७५।७।१५,075-CR-0098,2075-07-15,नक्कली प्रमाण पत्र
MATCH,exact,30,२०७५।७।१२,२०७५।७।१९,075-CR-0104,2075-07-19,नक्कली प्रमाण पत्र
MATCH,exact,31,२०७५।७।१२,२०७५।७।१५,075-CR-0096,2075-07-15,नक्कली प्रमाण पत्र
MATCH,exact,32,२०७५।७।१२,२०७५।७।१८,075-CR-0103,2075-07-18,नक्कली प्रमाण पत्र
MATCH,fuzzy,33,२०७५।७।२९,२०७५।८।५,075-CR-0113,2075-08-05,नक्कली प्रमाण पत्र
MATCH,exact,34,२०७५।८।६,२०७५।८।१०,075-CR-0116,2075-08-10,नक्कली प्रमाण पत्र
MATCH,exact,35,२०७५।८।१३,२०७५।८।२०,075-CR-0121,2075-08-20,नक्कली प्रमाण पत्र
MATCH,subset,36,२०७५।८।१३,२०७५।८।२३,075-CR-0124,2075-08-23,नक्कली प्रमाण पत्र
MATCH,exact,37,२०७५।८।२०,२०७५।८।२६,075-CR-0128,2075-08-26,नक्कली प्रमाण पत्र
MATCH,subset,38,२०७५।१०।३,२०७५।१०।६,075-CR-0152,2075-10-06,नक्कली प्रमाण पत्र
MATCH,exact,39,२०७५।१०।३,२०७५।१०।१०,075-CR-0160,2075-10-10,नक्कली प्रमाण पत्र
MATCH,exact,40,२०७५।१०।३,२०७५।१०।१०,075-CR-0159,2075-10-10,नक्कली प्रमाण पत्र
MATCH,exact,41,२०७५।१०।१४,२०७५।१०।१५,075-CR-0162,2075-10-15,नक्कली प्रमाण पत्र
MATCH,subset,42,२०७५।१०।१४,२०७५।१०।१५,075-CR-0161,2075-10-15,नक्कली प्रमाण पत्र
MATCH,exact,43,२०७५।१०।२१,२०७५।१०।२४,075-CR-0170,2075-10-24,नक्कली प्रमाण पत्र
MATCH,exact,44,२०७५।११।२,२०७५।११।३,075-CR-0176,2075-11-03,नक्कली प्रमाण पत्र
MATCH,fuzzy,45,२०७५।११।२,२०७५।११।२६,075-CR-0197,2075-11-26,नक्कली प्रमाण पत्र
MATCH,exact,46,२०७५।११।९,२०७५।११।१०,075-CR-0183,2075-11-10,नक्कली प्रमाण पत्र
MATCH,manual_verified,48,२०७५।११।१९,२०७५।११।२१,075-CR-0192,2075-11-21,नक्कली प्रमाण पत्र
MATCH,exact,49,२०७५।११।१९,२०७५।११।२१,075-CR-0191,2075-11-21,नक्कली प्रमाण पत्र
MATCH,exact,50,२०७५।११।१९,२०७५।११।२३,075-CR-0196,2075-11-23,नक्कली प्रमाण पत्र
MATCH,exact,51,२०७५।११।१९,२०७५।११।२६,075-CR-0200,2075-11-26,नक्कली प्रमाण पत्र
MATCH,exact,52,२०७५।११।२३,२०७५।११।२८,075-CR-0205,2075-11-28,नक्कली प्रमाण पत्र
MATCH,exact,53,२०७५।११।२३,२०७५।११।२७,075-CR-0203,2075-11-27,नक्कली प्रमाण पत्र
MATCH,exact,54,२०७५।११।२३,२०७५।११।२९,075-CR-0208,2075-11-29,नक्कली प्रमाण पत्र
MATCH,exact,55,२०७५।११।२३,२०७५।११।२८,075-CR-0206,2075-11-28,नक्कली प्रमाण पत्र
MATCH,exact,56,२०७५।११।२३,२०७५।११।२८,075-CR-0207,2075-11-28,नक्कली प्रमाण पत्र
MATCH,exact,57,२०७५।११।३०,२०७५।१२।५,075-CR-0216,2075-12-05,नक्कली प्रमाण पत्र
MATCH,exact,58,२०७५।१२।३,२०७५।१२।५,075-CR-0217,2075-12-05,नक्कली प्रमाण पत्र
MATCH,exact,59,२०७५।१२।१२,२०७५।१२।१४,075-CR-0223,2075-12-14,नक्कली प्रमाण पत्र
MATCH,exact,60,२०७५।१२।१२,२०७५।१२।१५,075-CR-0227,2075-12-15,नक्कली प्रमाण पत्र
