side,match_rule,ciaa_serial,ciaa_decision_date_bs,ciaa_filing_date_bs,ngm_case_number,ngm_reg_date_bs,ngm_case_type
MATCH,exact,77,,२०७१।१०।६,071-CR-0220,2071-10-06,नक्कली प्रमाण पत्र
MATCH,exact,78,,२०७१।१०।११,071-CR-0223,2071-10-11,नक्कली प्रमाण पत्र
MATCH,exact,79,,२०७१।१०।१३,071-CR-0225,2071-10-13,नक्कली प्रमाण पत्र
MATCH,fuzzy,80,,२०७१।१०।१४,071-CR-0226,2071-10-14,नक्कली प्रमाण पत्र
MATCH,exact,81,,२०७१।११।१३,071-CR-0247,2071-11-13,नक्कली प्रमाण पत्र
MATCH,exact,82,,२०७१।११।१७,071-CR-0250,2071-11-17,नक्कली प्रमाण पत्र
MATCH,exact,83,,२०७१।११।२८,071-CR-0259,2071-11-28,नक्कली प्रमाण पत्र
MATCH,exact,84,,२०७१।११।२९,071-CR-0261,2071-11-29,नक्कली प्रमाण पत्र
MATCH,exact,85,,२०७१।१२।१५,071-CR-0270,2071-12-05,नक्कली प्रमाण पत्र
MATCH,exact,86,,२०७१।१२।१६,071-CR-0276,2071-12-16,नक्कली प्रमाण पत्र
MATCH,exact,87,,२०७१।१२।१७,071-CR-0277,2071-12-17,नक्कली प्रमाण पत्र
MATCH,exact,88,,२०७१।१२।१७,071-CR-0278,2071-12-17,नक्कली प्रमाण पत्र
MATCH,fuzzy,89,,२०७१।१२।१८,071-CR-0281,2071-12-18,नक्कली प्रमाण पत्र
MATCH,exact,90,,२०७१।१२।२६,071-CR-0288,2071-12-26,नक्कली प्रमाण पत्र
MATCH,exact,91,,२०७२।१।१२,071-CR-0292,2072-01-02,नक्कली प्रमाण पत्र
MATCH,exact,92,,२०७२।१।१३,071-CR-0293,2072-01-03,नक्कली प्रमाण पत्र
MATCH,exact,93,,२०७२।१।१६,071-CR-0294,2072-01-06,नक्कली प्रमाण पत्र
MATCH,exact,94,,२०७२।१।१७,071-CR-0295,2072-01-07,नक्कली प्रमाण पत्र
MATCH,exact,95,,२०७२।३।६,071-CR-0307,2072-03-06,नक्कली प्रमाण पत्र
MATCH,exact,96,,२०७२।३।११,071-CR-0313,2072-03-11,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,071-CR-0308,2072-03-07,गलत लिखत तयार गरेको
NGM_ONLY,,,,,071-CR-0308,2072-03-07,गलत लिखत तयार गरेको
NGM_ONLY,,,,,071-CR-0031,2071-05-04,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,071-CR-0134,2071-07-19,नक्कली प्रमाण पत्र
NGM_ONLY,,,,,071-CR-0147,2071-07-26,नक्कली प्रमाण पत्र
